county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Belmont,Belmont,Belmont County,39013,OH,Ohio,40.0158,-80.9885,66554,"Belmont County, OH"
Wayne,Wayne,Wayne County,18177,IN,Indiana,39.8644,-85.0098,66522,"Wayne County, IN"
Marquette,Marquette,Marquette County,26103,MI,Michigan,46.4313,-87.6416,66376,"Marquette County, MI"
Chippewa,Chippewa,Chippewa County,55017,WI,Wisconsin,45.0694,-91.2799,66254,"Chippewa County, WI"
Wilkes,Wilkes,Wilkes County,37193,NC,North Carolina,36.2062,-81.163,66125,"Wilkes County, NC"
Apache,Apache,Apache County,4001,AZ,Arizona,35.3955,-109.4888,66054,"Apache County, AZ"
Mason,Mason,Mason County,53045,WA,Washington,47.3483,-123.193,66053,"Mason County, WA"
Harrison,Harrison,Harrison County,54033,WV,West Virginia,39.2835,-80.3799,65862,"Harrison County, WV"
Lincoln,Lincoln,Lincoln County,46083,SD,South Dakota,43.2789,-96.7218,65801,"Lincoln County, SD"
Kershaw,Kershaw,Kershaw County,45055,SC,South Carolina,34.3388,-80.5902,65779,"Kershaw County, SC"
Starr,Starr,Starr County,48427,TX,Texas,26.5621,-98.7387,65716,"Starr County, TX"
Warren,Warren,Warren County,36113,NY,New York,43.561,-73.846,65684,"Warren County, NY"
Sauk,Sauk,Sauk County,55111,WI,Wisconsin,43.4267,-89.9482,65664,"Sauk County, WI"
Adams,Adams,Adams County,17001,IL,Illinois,39.9879,-91.1885,65583,"Adams County, IL"
Liberty,Liberty,Liberty County,13179,GA,Georgia,31.8282,-81.4949,65550,"Liberty County, GA"
Armstrong,Armstrong,Armstrong County,42005,PA,Pennsylvania,40.8121,-79.4646,65538,"Armstrong County, PA"
Tehama,Tehama,Tehama County,6103,CA,California,40.1256,-122.2341,65484,"Tehama County, CA"
Marion,Marion,Marion County,39101,OH,Ohio,40.5872,-83.1609,65366,"Marion County, OH"
Effingham,Effingham,Effingham County,13103,GA,Georgia,32.3674,-81.3414,65314,"Effingham County, GA"
Clay,Clay,Clay County,27027,MN,Minnesota,46.8923,-96.4906,65307,"Clay County, MN"
Jefferson,Jefferson,Jefferson County,39081,OH,Ohio,40.385,-80.761,65280,"Jefferson County, OH"
Pulaski,Pulaski,Pulaski County,21199,KY,Kentucky,37.1039,-84.5772,65145,"Pulaski County, KY"
Carbon,Carbon,Carbon County,42025,PA,Pennsylvania,40.9182,-75.7088,65018,"Carbon County, PA"
Walker,Walker,Walker County,1127,AL,Alabama,33.8033,-87.2973,64978,"Walker County, AL"
Isabella,Isabella,Isabella County,26073,MI,Michigan,43.6406,-84.8468,64938,"Isabella County, MI"
Columbia,Columbia,Columbia County,42037,PA,Pennsylvania,41.0486,-76.4052,64924,"Columbia County, PA"
Coos,Coos,Coos County,41011,OR,Oregon,43.1742,-124.0594,64908,"Coos County, OR"
Salem,Salem,Salem County,34033,NJ,New Jersey,39.5876,-75.3491,64840,"Salem County, NJ"
Nacogdoches,Nacogdoches,Nacogdoches County,48347,TX,Texas,31.616,-94.6159,64768,"Nacogdoches County, TX"
San Benito,San Benito,San Benito County,6069,CA,California,36.6057,-121.075,64753,"San Benito County, CA"
Chaves,Chaves,Chaves County,35005,NM,New Mexico,33.3633,-104.4669,64701,"Chaves County, NM"
Rutherford,Rutherford,Rutherford County,37161,NC,North Carolina,35.4026,-81.9198,64680,"Rutherford County, NC"
Hamblen,Hamblen,Hamblen County,47063,TN,Tennessee,36.2171,-83.2667,64531,"Hamblen County, TN"
Lamar,Lamar,Lamar County,28073,MS,Mississippi,31.206,-89.5087,64425,"Lamar County, MS"
Warrick,Warrick,Warrick County,18173,IN,Indiana,38.0922,-87.2721,64065,"Warrick County, IN"
Belknap,Belknap,Belknap County,33001,NH,New Hampshire,43.5179,-71.4227,63914,"Belknap County, NH"
Georgetown,Georgetown,Georgetown County,45043,SC,South Carolina,33.4343,-79.3326,63594,"Georgetown County, SC"
Lee,Lee,Lee County,37105,NC,North Carolina,35.4752,-79.1715,63560,"Lee County, NC"
Pope,Pope,Pope County,5115,AR,Arkansas,35.4479,-93.0345,63475,"Pope County, AR"
Union,Union,Union County,39159,OH,Ohio,40.2994,-83.3716,63411,"Union County, OH"
Darlington,Darlington,Darlington County,45031,SC,South Carolina,34.3325,-79.9577,63025,"Darlington County, SC"
Stanly,Stanly,Stanly County,37167,NC,North Carolina,35.3119,-80.251,62723,"Stanly County, NC"
Knox,Knox,Knox County,39083,OH,Ohio,40.3988,-82.4215,62657,"Knox County, OH"
Barry,Barry,Barry County,26015,MI,Michigan,42.595,-85.309,62581,"Barry County, MI"
Hall,Hall,Hall County,31079,NE,Nebraska,40.8726,-98.5022,62575,"Hall County, NE"
Hood,Hood,Hood County,48221,TX,Texas,32.4299,-97.8323,62459,"Hood County, TX"
Garfield,Garfield,Garfield County,40047,OK,Oklahoma,36.3791,-97.7827,62456,"Garfield County, OK"
Laurel,Laurel,Laurel County,21125,KY,Kentucky,37.1107,-84.1178,62442,"Laurel County, KY"
Haywood,Haywood,Haywood County,37087,NC,North Carolina,35.556,-82.9822,62152,"Haywood County, NC"
Walla Walla,Walla Walla,Walla Walla County,53071,WA,Washington,46.2298,-118.4784,62150,"Walla Walla County, WA"
Livingston,Livingston,Livingston County,36051,NY,New York,42.7281,-77.7755,61980,"Livingston County, NY"
Reno,Reno,Reno County,20155,KS,Kansas,37.953,-98.086,61881,"Reno County, KS"
Garfield,Garfield,Garfield County,8045,CO,Colorado,39.5993,-107.9039,61683,"Garfield County, CO"
Pender,Pender,Pender County,37141,NC,North Carolina,34.5249,-77.9052,61592,"Pender County, NC"
Cumberland,Cumberland,Cumberland County,47035,TN,Tennessee,35.9504,-84.9984,61552,"Cumberland County, TN"
Columbia,Columbia,Columbia County,36021,NY,New York,42.2501,-73.6318,61469,"Columbia County, NY"
Washington,Washington,Washington County,36115,NY,New York,43.3137,-73.4308,61310,"Washington County, NY"
Athens,Athens,Athens County,39009,OH,Ohio,39.3339,-82.0452,61276,"Athens County, OH"
Eddy,Eddy,Eddy County,35015,NM,New Mexico,32.4714,-104.3044,61264,"Eddy County, NM"
Granville,Granville,Granville County,37077,NC,North Carolina,36.304,-78.6527,61161,"Granville County, NC"
Tipton,Tipton,Tipton County,47167,TN,Tennessee,35.4973,-89.7566,61116,"Tipton County, TN"
St. Joseph,St. Joseph,St. Joseph County,26149,MI,Michigan,41.9144,-85.5278,60887,"St. Joseph County, MI"
Crawford,Crawford,Crawford County,5033,AR,Arkansas,35.5881,-94.2428,60593,"Crawford County, AR"
Rutland,Rutland,Rutland County,50021,VT,Vermont,43.5801,-73.0364,60585,"Rutland County, VT"
Pittsylvania,Pittsylvania,Pittsylvania County,51143,VA,Virginia,36.8213,-79.3971,60541,"Pittsylvania County, VA"
Herkimer,Herkimer,Herkimer County,36043,NY,New York,43.4192,-74.9624,60293,"Herkimer County, NY"
Lincoln,Lincoln,Lincoln County,29113,MO,Missouri,39.058,-90.96,60172,"Lincoln County, MO"
Bradford,Bradford,Bradford County,42015,PA,Pennsylvania,41.7887,-76.5154,60159,"Bradford County, PA"
Otter Tail,Otter Tail,Otter Tail County,27111,MN,Minnesota,46.4088,-95.708,60072,"Otter Tail County, MN"
Van Zandt,Van Zandt,Van Zandt County,48467,TX,Texas,32.5637,-95.8365,60053,"Van Zandt County, TX"
Washington,Washington,Washington County,50023,VT,Vermont,44.2736,-72.6148,59768,"Washington County, VT"
Otsego,Otsego,Otsego County,36077,NY,New York,42.6338,-75.0326,59678,"Otsego County, NY"
Washington,Washington,Washington County,39167,OH,Ohio,39.4553,-81.4953,59639,"Washington County, OH"
Mercer,Mercer,Mercer County,54055,WV,West Virginia,37.4055,-81.1114,59530,"Mercer County, WV"
Lyon,Lyon,Lyon County,32019,NV,Nevada,39.0206,-119.189,59435,"Lyon County, NV"
Sampson,Sampson,Sampson County,37163,NC,North Carolina,34.9916,-78.3714,59317,"Sampson County, NC"
Kenai Peninsula,Kenai Peninsula,Kenai Peninsula Borough,2122,AK,Alaska,60.2654,-151.5651,59235,"Kenai Peninsula Borough, AK"
Blount,Blount,Blount County,1009,AL,Alabama,33.9809,-86.5674,59077,"Blount County, AL"
Newton,Newton,Newton County,29145,MO,Missouri,36.9055,-94.3393,59019,"Newton County, MO"
Pike,Pike,Pike County,42103,PA,Pennsylvania,41.332,-75.0338,58996,"Pike County, PA"
Sandusky,Sandusky,Sandusky County,39143,OH,Ohio,41.3562,-83.1464,58885,"Sandusky County, OH"
Russell,Russell,Russell County,1113,AL,Alabama,32.2884,-85.1849,58849,"Russell County, AL"
Pickaway,Pickaway,Pickaway County,39129,OH,Ohio,39.6419,-83.0244,58809,"Pickaway County, OH"
Autauga,Autauga,Autauga County,1001,AL,Alabama,32.5349,-86.6427,58761,"Autauga County, AL"
Lowndes,Lowndes,Lowndes County,28087,MS,Mississippi,33.4729,-88.4433,58547,"Lowndes County, MS"
Huron,Huron,Huron County,39077,OH,Ohio,41.1463,-82.598,58518,"Huron County, OH"
Box Elder,Box Elder,Box Elder County,49003,UT,Utah,41.521,-113.0821,58291,"Box Elder County, UT"
Oxford,Oxford,Oxford County,23017,ME,Maine,44.4999,-70.7566,58276,"Oxford County, ME"
Columbia,Columbia,Columbia County,55021,WI,Wisconsin,43.4666,-89.3337,58272,"Columbia County, WI"
Carson City,Carson City,Carson City,32510,NV,Nevada,39.1511,-119.7476,58249,"Carson City, NV"
Genesee,Genesee,Genesee County,36037,NY,New York,43.0009,-78.1937,58204,"Genesee County, NY"
Pike,Pike,Pike County,21195,KY,Kentucky,37.4691,-82.3958,58196,"Pike County, KY"
Coffee,Coffee,Coffee County,47031,TN,Tennessee,35.4906,-86.0748,58080,"Coffee County, TN"
Anderson,Anderson,Anderson County,48001,TX,Texas,31.8133,-95.6525,58077,"Anderson County, TX"
Iron,Iron,Iron County,49021,UT,Utah,37.8592,-113.2895,58068,"Iron County, UT"
Jefferson,Jefferson,Jefferson County,54037,WV,West Virginia,39.3076,-77.8628,58043,"Jefferson County, WV"
Lawrence,Lawrence,Lawrence County,39087,OH,Ohio,38.5984,-82.5368,57994,"Lawrence County, OH"
Windsor,Windsor,Windsor County,50027,VT,Vermont,43.5799,-72.5862,57832,"Windsor County, VT"
Maverick,Maverick,Maverick County,48323,TX,Texas,28.7426,-100.3145,57806,"Maverick County, TX"
Gordon,Gordon,Gordon County,13129,GA,Georgia,34.5032,-84.8759,57785,"Gordon County, GA"
Acadia,Acadia,Acadia Parish,22001,LA,Louisiana,30.2906,-92.412,57674,"Acadia Parish, LA"
Waller,Waller,Waller County,48473,TX,Texas,30.0108,-95.9876,57463,"Waller County, TX"
Putnam,Putnam,Putnam County,54079,WV,West Virginia,38.5086,-81.909,57347,"Putnam County, WV"
Scott,Scott,Scott County,21209,KY,Kentucky,38.2916,-84.5839,57286,"Scott County, KY"
Colbert,Colbert,Colbert County,1033,AL,Alabama,34.7005,-87.8049,57270,"Colbert County, AL"
Vermilion,Vermilion,Vermilion Parish,22113,LA,Louisiana,29.8465,-92.3242,57202,"Vermilion Parish, LA"
Hawkins,Hawkins,Hawkins County,47073,TN,Tennessee,36.4412,-82.9447,57107,"Hawkins County, TN"
Chisago,Chisago,Chisago County,27025,MN,Minnesota,45.5025,-92.9083,56927,"Chisago County, MN"
Hardin,Hardin,Hardin County,48199,TX,Texas,30.3324,-94.3902,56576,"Hardin County, TX"
Pearl River,Pearl River,Pearl River County,28109,MS,Mississippi,30.7688,-89.5896,56351,"Pearl River County, MS"
Carter,Carter,Carter County,47019,TN,Tennessee,36.2928,-82.1275,56315,"Carter County, TN"
Taney,Taney,Taney County,29213,MO,Missouri,36.6548,-93.0411,56202,"Taney County, MO"
Cherokee,Cherokee,Cherokee County,45021,SC,South Carolina,35.0481,-81.6206,56200,"Cherokee County, SC"
Marion,Marion,Marion County,54049,WV,West Virginia,39.51,-80.2434,56194,"Marion County, WV"
Lafayette,Lafayette,Lafayette County,28071,MS,Mississippi,34.3568,-89.485,56172,"Lafayette County, MS"
La Plata,La Plata,La Plata County,8067,CO,Colorado,37.2866,-107.8433,55983,"La Plata County, CO"
Hancock,Hancock,Hancock County,23009,ME,Maine,44.6648,-68.3583,55851,"Hancock County, ME"
Eagle,Eagle,Eagle County,8037,CO,Colorado,39.6278,-106.6953,55650,"Eagle County, CO"
Whiteside,Whiteside,Whiteside County,17195,IL,Illinois,41.7562,-89.9141,55569,"Whiteside County, IL"
Campbell,Campbell,Campbell County,51031,VA,Virginia,37.2053,-79.0966,55518,"Campbell County, VA"
Loudon,Loudon,Loudon County,47105,TN,Tennessee,35.7348,-84.3119,55507,"Loudon County, TN"
Grady,Grady,Grady County,40051,OK,Oklahoma,35.0169,-97.8841,55314,"Grady County, OK"
Camden,Camden,Camden County,13039,GA,Georgia,30.9306,-81.6699,55105,"Camden County, GA"
Lenoir,Lenoir,Lenoir County,37107,NC,North Carolina,35.2388,-77.6413,55071,"Lenoir County, NC"
Seneca,Seneca,Seneca County,39147,OH,Ohio,41.1239,-83.1277,55062,"Seneca County, OH"
Jefferson,Jefferson,Jefferson County,47089,TN,Tennessee,36.051,-83.4463,55017,"Jefferson County, TN"
Tuolumne,Tuolumne,Tuolumne County,6109,CA,California,38.0276,-119.9548,54993,"Tuolumne County, CA"
Franklin,Franklin,Franklin County,51067,VA,Virginia,36.992,-79.8811,54838,"Franklin County, VA"
Dickson,Dickson,Dickson County,47043,TN,Tennessee,36.149,-87.3567,54563,"Dickson County, TN"
Watauga,Watauga,Watauga County,37189,NC,North Carolina,36.2311,-81.6964,54540,"Watauga County, NC"
Saline,Saline,Saline County,20169,KS,Kansas,38.7838,-97.65,54160,"Saline County, KS"
Johnson,Johnson,Johnson County,29101,MO,Missouri,38.7441,-93.8064,54025,"Johnson County, MO"
Washington,Washington,Washington County,51191,VA,Virginia,36.7244,-81.9598,53985,"Washington County, VA"
Roane,Roane,Roane County,47145,TN,Tennessee,35.8479,-84.5232,53777,"Roane County, TN"
Pulaski,Pulaski,Pulaski County,29169,MO,Missouri,37.8246,-92.2076,53726,"Pulaski County, MO"
Elko,Elko,Elko County,32007,NV,Nevada,41.1458,-115.3577,53600,"Elko County, NV"
Coffee,Coffee,Coffee County,1031,AL,Alabama,31.4027,-85.9882,53559,"Coffee County, AL"
McMinn,McMinn,McMinn County,47107,TN,Tennessee,35.4248,-84.6175,53532,"McMinn County, TN"
Boone,Boone,Boone County,17007,IL,Illinois,42.3231,-88.8234,53459,"Boone County, IL"
Gila,Gila,Gila County,4007,AZ,Arizona,33.7997,-110.8116,53419,"Gila County, AZ"
Jessamine,Jessamine,Jessamine County,21113,KY,Kentucky,37.872,-84.5809,53381,"Jessamine County, KY"
Fulton,Fulton,Fulton County,36035,NY,New York,43.1138,-74.4222,53280,"Fulton County, NY"
Tuscola,Tuscola,Tuscola County,26157,MI,Michigan,43.4641,-83.4167,53218,"Tuscola County, MI"
Jackson,Jackson,Jackson County,17077,IL,Illinois,37.7851,-89.3821,53176,"Jackson County, IL"
Columbia,Columbia,Columbia County,41009,OR,Oregon,45.9438,-123.0883,52865,"Columbia County, OR"
Navarro,Navarro,Navarro County,48349,TX,Texas,32.047,-96.4725,52834,"Navarro County, TX"
Worcester,Worcester,Worcester County,24047,MD,Maryland,38.2128,-75.334,52827,"Worcester County, MD"
Culpeper,Culpeper,Culpeper County,51047,VA,Virginia,38.486,-77.9558,52822,"Culpeper County, VA"
Kerr,Kerr,Kerr County,48265,TX,Texas,30.0615,-99.35,52810,"Kerr County, TX"
Rusk,Rusk,Rusk County,48401,TX,Texas,32.1077,-94.7618,52755,"Rusk County, TX"
Warren,Warren,Warren County,19181,IA,Iowa,41.3343,-93.5615,52709,"Warren County, IA"
Grundy,Grundy,Grundy County,17063,IL,Illinois,41.2851,-88.4185,52624,"Grundy County, IL"
Jackson,Jackson,Jackson County,1071,AL,Alabama,34.7795,-85.9994,52618,"Jackson County, AL"
Hoke,Hoke,Hoke County,37093,NC,North Carolina,35.0175,-79.2373,52612,"Hoke County, NC"
Washington,Washington,Washington County,40147,OK,Oklahoma,36.7152,-95.9044,52579,"Washington County, OK"
Ashland,Ashland,Ashland County,39005,OH,Ohio,40.846,-82.2707,52522,"Ashland County, OH"
Madison,Madison,Madison County,16065,ID,Idaho,43.7841,-111.6592,52487,"Madison County, ID"
Calumet,Calumet,Calumet County,55015,WI,Wisconsin,44.0816,-88.2181,52361,"Calumet County, WI"
St. Charles,St. Charles,St. Charles Parish,22089,LA,Louisiana,29.9055,-90.3582,52191,"St. Charles Parish, LA"
St. Martin,St. Martin,St. Martin Parish,22099,LA,Louisiana,30.1291,-91.6083,51856,"St. Martin Parish, LA"
Grant,Grant,Grant County,55043,WI,Wisconsin,42.8675,-90.7062,51842,"Grant County, WI"
Waupaca,Waupaca,Waupaca County,55135,WI,Wisconsin,44.4705,-88.9648,51822,"Waupaca County, WI"
Harrisonburg,Harrisonburg,Harrisonburg City,51660,VA,Virginia,38.4362,-78.8735,51784,"Harrisonburg City, VA"
Darke,Darke,Darke County,39037,OH,Ohio,40.1333,-84.6194,51751,"Darke County, OH"
Nye,Nye,Nye County,32023,NV,Nevada,38.0422,-116.4719,51698,"Nye County, NV"
Ogle,Ogle,Ogle County,17141,IL,Illinois,42.0426,-89.3207,51672,"Ogle County, IL"
Cass,Cass,Cass County,26027,MI,Michigan,41.9154,-85.9935,51604,"Cass County, MI"
Franklin,Franklin,Franklin County,21073,KY,Kentucky,38.2391,-84.8771,51475,"Franklin County, KY"
Medina,Medina,Medina County,48325,TX,Texas,29.3557,-99.1101,51432,"Medina County, TX"
Oktibbeha,Oktibbeha,Oktibbeha County,28105,MS,Mississippi,33.425,-88.8793,51388,"Oktibbeha County, MS"
Wayne,Wayne,Wayne County,42127,PA,Pennsylvania,41.6487,-75.3033,51227,"Wayne County, PA"
Columbus,Columbus,Columbus County,37047,NC,North Carolina,34.2657,-78.655,50827,"Columbus County, NC"
Cherokee,Cherokee,Cherokee County,48073,TX,Texas,31.837,-95.1652,50824,"Cherokee County, TX"
Henry,Henry,Henry County,51089,VA,Virginia,36.6828,-79.874,50760,"Henry County, VA"
Dearborn,Dearborn,Dearborn County,18029,IN,Indiana,39.1452,-84.9732,50709,"Dearborn County, IN"
Carroll,Carroll,Carroll County,33003,NH,New Hampshire,43.8738,-71.2031,50679,"Carroll County, NH"
Bristol,Bristol,Bristol County,44001,RI,Rhode Island,41.7173,-71.284,50658,"Bristol County, RI"
Somerset,Somerset,Somerset County,23025,ME,Maine,45.5139,-69.9589,50656,"Somerset County, ME"
Polk,Polk,Polk County,48373,TX,Texas,30.7927,-94.83,50536,"Polk County, TX"
Bedford,Bedford,Bedford County,47003,TN,Tennessee,35.5138,-86.4589,50533,"Bedford County, TN"
Venango,Venango,Venango County,42121,PA,Pennsylvania,41.401,-79.758,50475,"Venango County, PA"
Gibson,Gibson,Gibson County,47053,TN,Tennessee,35.9966,-88.9326,50455,"Gibson County, TN"
Wilson,Wilson,Wilson County,48493,TX,Texas,29.174,-98.0866,50381,"Wilson County, TX"
Lincoln,Lincoln,Lincoln County,41041,OR,Oregon,44.642,-123.8682,50334,"Lincoln County, OR"
Queen Anne's,Queen Anne's,Queen Anne's County,24035,MD,Maryland,39.068,-76.0202,50316,"Queen Anne's County, MD"
Lamar,Lamar,Lamar County,48277,TX,Texas,33.6672,-95.5712,50149,"Lamar County, TX"
Newaygo,Newaygo,Newaygo County,26123,MI,Michigan,43.5542,-85.8009,50130,"Newaygo County, MI"
Buffalo,Buffalo,Buffalo County,31019,NE,Nebraska,40.8552,-99.075,50103,"Buffalo County, NE"
Franklin,Franklin,Franklin County,50011,VT,Vermont,44.8576,-72.9131,50101,"Franklin County, VT"
Logan,Logan,Logan County,40083,OK,Oklahoma,35.9193,-97.4433,49919,"Logan County, OK"
Winona,Winona,Winona County,27169,MN,Minnesota,43.9869,-91.7792,49792,"Winona County, MN"
Knox,Knox,Knox County,17095,IL,Illinois,40.9318,-90.2132,49751,"Knox County, IL"
Burnet,Burnet,Burnet County,48053,TX,Texas,30.7884,-98.1823,49684,"Burnet County, TX"
Montgomery,Montgomery,Montgomery County,36057,NY,New York,42.9023,-74.4397,49624,"Montgomery County, NY"
Douglas,Douglas,Douglas County,32005,NV,Nevada,38.9123,-119.6162,49476,"Douglas County, NV"
Dale,Dale,Dale County,1045,AL,Alabama,31.4318,-85.611,49455,"Dale County, AL"
Laurens,Laurens,Laurens County,13175,GA,Georgia,32.4636,-82.9222,49407,"Laurens County, GA"
Atascosa,Atascosa,Atascosa County,48013,TX,Texas,28.8935,-98.5272,49403,"Atascosa County, TX"
Duplin,Duplin,Duplin County,37061,NC,North Carolina,34.9365,-77.933,49312,"Duplin County, NC"
Henry,Henry,Henry County,17073,IL,Illinois,41.3531,-90.1314,49157,"Henry County, IL"
St. Mary,St. Mary,St. Mary Parish,22101,LA,Louisiana,29.7207,-91.4486,49114,"St. Mary Parish, LA"
Fremont,Fremont,Fremont County,8043,CO,Colorado,38.4731,-105.4395,49107,"Fremont County, CO"
Edgecombe,Edgecombe,Edgecombe County,37065,NC,North Carolina,35.9129,-77.5971,49067,"Edgecombe County, NC"
Henry,Henry,Henry County,18065,IN,Indiana,39.9311,-85.3964,48913,"Henry County, IN"
Halifax,Halifax,Halifax County,37083,NC,North Carolina,36.2574,-77.6517,48772,"Halifax County, NC"
Le Flore,Le Flore,Le Flore County,40079,OK,Oklahoma,34.9003,-94.7034,48525,"Le Flore County, OK"
Vernon,Vernon,Vernon Parish,22115,LA,Louisiana,31.1083,-93.1843,48452,"Vernon Parish, LA"
Tioga,Tioga,Tioga County,36107,NY,New York,42.1703,-76.3063,48344,"Tioga County, NY"
Curry,Curry,Curry County,35009,NM,New Mexico,34.5742,-103.347,48327,"Curry County, NM"
Lincoln,Lincoln,Lincoln Parish,22061,LA,Louisiana,32.6016,-92.6649,48323,"Lincoln Parish, LA"
Bingham,Bingham,Bingham County,16011,ID,Idaho,43.2166,-112.3981,48253,"Bingham County, ID"
Boyd,Boyd,Boyd County,21019,KY,Kentucky,38.3596,-82.6878,48242,"Boyd County, KY"
Carter,Carter,Carter County,40019,OK,Oklahoma,34.2509,-97.2858,48202,"Carter County, OK"
Shelby,Shelby,Shelby County,39149,OH,Ohio,40.3316,-84.2048,48145,"Shelby County, OH"
Shelby,Shelby,Shelby County,21211,KY,Kentucky,38.2155,-85.1948,48105,"Shelby County, KY"
Greene,Greene,Greene County,36039,NY,New York,42.2765,-74.1227,48067,"Greene County, NY"
Bonner,Bonner,Bonner County,16017,ID,Idaho,48.3,-116.6011,47976,"Bonner County, ID"
Crittenden,Crittenden,Crittenden County,5035,AR,Arkansas,35.2057,-90.3078,47945,"Crittenden County, AR"
Santa Cruz,Santa Cruz,Santa Cruz County,4023,AZ,Arizona,31.5259,-110.8465,47838,"Santa Cruz County, AZ"
Jackson,Jackson,Jackson County,12063,FL,Florida,30.7954,-85.2155,47704,"Jackson County, FL"
Goodhue,Goodhue,Goodhue County,27049,MN,Minnesota,44.4097,-92.7229,47697,"Goodhue County, MN"
Val Verde,Val Verde,Val Verde County,48465,TX,Texas,29.8929,-101.1517,47693,"Val Verde County, TX"
Bedford,Bedford,Bedford County,42009,PA,Pennsylvania,40.0065,-78.4903,47613,"Bedford County, PA"
Franklin,Franklin,Franklin County,36033,NY,New York,44.5929,-74.3038,47459,"Franklin County, NY"
Noble,Noble,Noble County,18113,IN,Indiana,41.3986,-85.4175,47431,"Noble County, IN"
Cherokee,Cherokee,Cherokee County,40021,OK,Oklahoma,35.9067,-94.9997,47412,"Cherokee County, OK"
Allegany,Allegany,Allegany County,36003,NY,New York,42.2574,-78.0276,47222,"Allegany County, NY"
Whitman,Whitman,Whitman County,53075,WA,Washington,46.9012,-117.523,47141,"Whitman County, WA"
Chenango,Chenango,Chenango County,36017,NY,New York,42.4935,-75.6116,47096,"Chenango County, NY"
Coles,Coles,Coles County,17029,IL,Illinois,39.5203,-88.2217,47076,"Coles County, IL"
Chambers,Chambers,Chambers County,48071,TX,Texas,29.7384,-94.61,47037,"Chambers County, TX"
Campbell,Campbell,Campbell County,56005,WY,Wyoming,44.2482,-105.5482,46857,"Campbell County, WY"
Nelson,Nelson,Nelson County,21179,KY,Kentucky,37.8052,-85.466,46779,"Nelson County, KY"
Stevens,Stevens,Stevens County,53065,WA,Washington,48.3991,-117.8552,46774,"Stevens County, WA"
Cortland,Cortland,Cortland County,36023,NY,New York,42.595,-76.0703,46755,"Cortland County, NY"
Barron,Barron,Barron County,55005,WI,Wisconsin,45.4237,-91.8483,46683,"Barron County, WI"
Bryan,Bryan,Bryan County,40013,OK,Oklahoma,33.9623,-96.2598,46528,"Bryan County, OK"
Monroe,Monroe,Monroe County,47123,TN,Tennessee,35.4427,-84.2527,46489,"Monroe County, TN"
Clinton,Clinton,Clinton County,19045,IA,Iowa,41.898,-90.532,46488,"Clinton County, IA"
Habersham,Habersham,Habersham County,13137,GA,Georgia,34.631,-83.5311,46326,"Habersham County, GA"
Charlottesville,Charlottesville,Charlottesville City,51540,VA,Virginia,38.0375,-78.4855,46289,"Charlottesville City, VA"
Beltrami,Beltrami,Beltrami County,27007,MN,Minnesota,47.9738,-94.9377,46274,"Beltrami County, MN"
Auglaize,Auglaize,Auglaize County,39011,OH,Ohio,40.5609,-84.2217,46263,"Auglaize County, OH"
Jackson,Jackson,Jackson County,18071,IN,Indiana,38.9064,-86.0375,46212,"Jackson County, IN"
Monroe,Monroe,Monroe County,55081,WI,Wisconsin,43.9457,-90.6178,46208,"Monroe County, WI"
Marshall,Marshall,Marshall County,18099,IN,Indiana,41.3248,-86.2618,46208,"Marshall County, IN"
Mifflin,Mifflin,Mifflin County,42087,PA,Pennsylvania,40.6104,-77.617,46146,"Mifflin County, PA"
Caldwell,Caldwell,Caldwell County,48055,TX,Texas,29.8368,-97.6199,46141,"Caldwell County, TX"
Logan,Logan,Logan County,39091,OH,Ohio,40.3885,-83.7658,46098,"Logan County, OH"
Hancock,Hancock,Hancock County,28045,MS,Mississippi,30.4165,-89.489,46010,"Hancock County, MS"
Osage,Osage,Osage County,40113,OK,Oklahoma,36.6292,-96.3985,46004,"Osage County, OK"
Greene,Greene,Greene County,5055,AR,Arkansas,36.1175,-90.5589,45954,"Greene County, AR"
Perry,Perry,Perry County,42099,PA,Pennsylvania,40.3984,-77.2623,45941,"Perry County, PA"
Windham,Windham,Windham County,50025,VT,Vermont,42.9906,-72.7139,45857,"Windham County, VT"
Colquitt,Colquitt,Colquitt County,13071,GA,Georgia,31.1884,-83.7688,45813,"Colquitt County, GA"
Hillsdale,Hillsdale,Hillsdale County,26059,MI,Michigan,41.8878,-84.5929,45698,"Hillsdale County, MI"
Calaveras,Calaveras,Calaveras County,6009,CA,California,38.2046,-120.5541,45674,"Calaveras County, CA"
Thomas,Thomas,Thomas County,13275,GA,Georgia,30.8637,-83.9193,45665,"Thomas County, GA"
Washington,Washington,Washington Parish,22117,LA,Louisiana,30.8533,-90.0405,45514,"Washington Parish, LA"
Kendall,Kendall,Kendall County,48259,TX,Texas,29.9447,-98.7115,45376,"Kendall County, TX"
Wood,Wood,Wood County,48499,TX,Texas,32.7864,-95.3821,45341,"Wood County, TX"
Hopkins,Hopkins,Hopkins County,21107,KY,Kentucky,37.3088,-87.5408,45223,"Hopkins County, KY"
Dunn,Dunn,Dunn County,55033,WI,Wisconsin,44.9466,-91.8964,45221,"Dunn County, WI"
Chilton,Chilton,Chilton County,1021,AL,Alabama,32.8479,-86.7188,45140,"Chilton County, AL"
Polk,Polk,Polk County,55095,WI,Wisconsin,45.4614,-92.4414,45128,"Polk County, WI"
