county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Dane,Dane,Dane County,55025,WI,Wisconsin,43.0673,-89.4181,559891,"Dane County, WI"
Volusia,Volusia,Volusia County,12127,FL,Florida,29.0584,-81.1819,558520,"Volusia County, FL"
Lancaster,Lancaster,Lancaster County,42071,PA,Pennsylvania,40.0424,-76.2477,553202,"Lancaster County, PA"
Stanislaus,Stanislaus,Stanislaus County,6099,CA,California,37.5591,-120.9977,552063,"Stanislaus County, CA"
Ramsey,Ramsey,Ramsey County,27123,MN,Minnesota,45.0171,-93.0996,547202,"Ramsey County, MN"
Guilford,Guilford,Guilford County,37081,NC,North Carolina,36.0795,-79.7889,539557,"Guilford County, NC"
Summit,Summit,Summit County,39153,OH,Ohio,41.126,-81.5322,539361,"Summit County, OH"
Spokane,Spokane,Spokane County,53063,WA,Washington,47.6207,-117.404,538711,"Spokane County, WA"
Chester,Chester,Chester County,42029,PA,Pennsylvania,39.9731,-75.7484,536474,"Chester County, PA"
Montgomery,Montgomery,Montgomery County,39113,OH,Ohio,39.7547,-84.2907,536121,"Montgomery County, OH"
Plymouth,Plymouth,Plymouth County,25023,MA,Massachusetts,41.9511,-70.8115,529548,"Plymouth County, MA"
Greenville,Greenville,Greenville County,45045,SC,South Carolina,34.8941,-82.3706,528251,"Greenville County, SC"
Sedgwick,Sedgwick,Sedgwick County,20173,KS,Kansas,37.6848,-97.461,522700,"Sedgwick County, KS"
Camden,Camden,Camden County,34007,NJ,New Jersey,39.8035,-74.9597,522581,"Camden County, NJ"
Adams,Adams,Adams County,8001,CO,Colorado,39.8736,-104.3379,520149,"Adams County, CO"
Passaic,Passaic,Passaic County,34031,NJ,New Jersey,41.0343,-74.3009,519986,"Passaic County, NJ"
Kane,Kane,Kane County,17089,IL,Illinois,41.9388,-88.4286,517254,"Kane County, IL"
Morris,Morris,Morris County,34027,NJ,New Jersey,40.862,-74.5445,508816,"Morris County, NJ"
Clark,Clark,Clark County,53011,WA,Washington,45.7792,-122.4825,504091,"Clark County, WA"
Lake,Lake,Lake County,18089,IN,Indiana,41.4167,-87.3821,497682,"Lake County, IN"
Ada,Ada,Ada County,16001,ID,Idaho,43.4511,-116.2412,497494,"Ada County, ID"
Polk,Polk,Polk County,19153,IA,Iowa,41.6854,-93.5734,493378,"Polk County, IA"
Richmond,Richmond,Richmond County,36085,NY,New York,40.5807,-74.1531,492925,"Richmond County, NY"
Sonoma,Sonoma,Sonoma County,6097,CA,California,38.529,-122.8882,488436,"Sonoma County, CA"
Washoe,Washoe,Washoe County,32031,NV,Nevada,40.6655,-119.6643,486674,"Washoe County, NV"
Knox,Knox,Knox County,47093,TN,Tennessee,35.9932,-83.9371,481406,"Knox County, TN"
Prince William,Prince William,Prince William County,51153,VA,Virginia,38.7029,-77.4809,481114,"Prince William County, VA"
Tulare,Tulare,Tulare County,6107,CA,California,36.2202,-118.8005,473446,"Tulare County, CA"
Onondaga,Onondaga,Onondaga County,36067,NY,New York,43.0058,-76.1946,472637,"Onondaga County, NY"
Seminole,Seminole,Seminole County,12117,FL,Florida,28.717,-81.2363,471321,"Seminole County, FL"
Hampden,Hampden,Hampden County,25013,MA,Massachusetts,42.1351,-72.6316,464575,"Hampden County, MA"
Burlington,Burlington,Burlington County,34005,NJ,New Jersey,39.8777,-74.6681,461853,"Burlington County, NJ"
Virginia Beach,Virginia Beach,Virginia Beach City,51810,VA,Virginia,36.7335,-76.0435,457900,"Virginia Beach City, VA"
York,York,York County,42133,PA,Pennsylvania,39.92,-76.7265,457051,"York County, PA"
East Baton Rouge,East Baton Rouge,East Baton Rouge Parish,22033,LA,Louisiana,30.5383,-91.0956,454369,"East Baton Rouge Parish, LA"
Naugatuck Valley,Naugatuck Valley,Naugatuck Valley Planning Region,9140,CT,Connecticut,41.5231,-73.086,451887,"Naugatuck Valley Planning Region, CT"
Solano,Solano,Solano County,6095,CA,California,38.27,-121.9328,450995,"Solano County, CA"
Santa Barbara,Santa Barbara,Santa Barbara County,6083,CA,California,34.6729,-120.0169,445213,"Santa Barbara County, CA"
Sarasota,Sarasota,Sarasota County,12115,FL,Florida,27.1845,-82.3315,439392,"Sarasota County, FL"
